shs1 test suite results:
da39a3ee5e6b4b0d3255bfef95601890afd80709 ""
86f7e437faa5a7fce15d1ddcb9eaeaea377667b8 "a"
a9993e364706816aba3e25717850c26c9cd0d89d "abc"
c12252ceda8be8994d5fa0290a47231c1d16aae3 "message digest"
32d10c7b8cf96570ca04ce37f2a19d84240d3a89 "abcdefghijklmnopqrstuvwxyz"
761c457bf73b14d27e9e9265c46f4b4dda11f940 "ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789"
50abf5706a150990a08b2c5ea40fa0e585554732 "12345678901234567890123456789012345678901234567890123456789012345678901234567890"
84983e441c3bd26ebaae4aa1f95129e5e54670f1 "abcdbcdecdefdefgefghfghighijhijkijkljklmklmnlmnomnopnopq"
a9993e364706816aba3e25717850c26c9cd0d89d file1
dfde5b66252599824c8c16381c410b8401d49c80 file2
